,event_type,img_id,loc_left,loc_top,time
10396,mouseover,img_5F,199px,431.267px,1634202679.73
10397,mouseout,img_5F,199px,431.267px,1634202679.745
10398,mouseout,img_5F,198px,430.267px,1634202679.752
10399,mouseover,img_5F,199px,431.267px,1634202679.747
10400,mouseover,img_5F,198px,430.267px,1634202679.753
10401,mouseout,img_5F,198px,430.267px,1634202679.762
10402,mouseover,img_5F,198px,430.267px,1634202679.762
10403,mouseover,img_5F,198px,429.267px,1634202679.765
10404,mouseout,img_5F,198px,429.267px,1634202679.764
10405,mouseout,img_5F,198px,429.267px,1634202679.778
10406,mouseover,img_5F,198px,429.267px,1634202679.779
10407,mouseout,img_5F,198px,426.267px,1634202679.78
10408,mouseover,img_5F,198px,426.267px,1634202679.781
10409,drag-end-playground,img_5F,198px,426.267px,1634202680.392
10410,mouseover,img_5F,198px,426.267px,1634202680.657
10411,mouseout,img_5F,198px,426.267px,1634202680.656
10412,mouseout,img_5F,198px,426.267px,1634202680.663
10413,mouseover,img_5F,198px,426.267px,1634202680.664
10414,mouseout,img_5F,198px,426.267px,1634202680.744
10415,mouseover,img_5F,198px,426.267px,1634202680.744
10416,mouseover,img_5F,198px,426.267px,1634202680.795
10417,mouseout,img_5F,198px,426.267px,1634202680.794
10418,mouseover,img_5F,198px,426.267px,1634202680.812
10419,mouseout,img_5F,198px,426.267px,1634202680.811
10420,mouseout,img_5F,198px,426.267px,1634202680.827
10421,mouseover,img_5F,198px,426.267px,1634202680.828
10422,mouseout,img_5F,198px,426.267px,1634202680.845
10423,mouseover,img_5F,198px,426.267px,1634202680.845
10424,mouseover,img_5F,198px,426.267px,1634202680.861
10425,mouseout,img_5F,198px,426.267px,1634202680.86
10426,mouseover,img_5F,198px,426.267px,1634202681.195
10427,mouseout,img_5F,198px,426.267px,1634202681.194
10428,mouseover,img_5F,198px,426.267px,1634202681.512
10429,mouseout,img_5F,198px,426.267px,1634202681.51
10430,mouseover,img_5F,198px,426.267px,1634202681.828
10431,mouseout,img_5F,198px,426.267px,1634202681.827
10432,mouseover,img_5F,198px,426.267px,1634202681.928
10433,mouseout,img_5F,198px,426.267px,1634202681.927
10434,mouseover,img_5F,198px,426.267px,1634202682.711
10435,mouseout,img_5F,198px,426.267px,1634202682.709
10436,mouseover,img_5F,198px,426.267px,1634202682.744
10437,mouseout,img_5F,198px,426.267px,1634202682.743
10438,mouseover,img_5F,198px,426.267px,1634202682.777
10439,mouseout,img_5F,198px,426.267px,1634202682.776
10440,mouseover,img_5F,198px,426.267px,1634202682.977
10441,mouseout,img_5F,198px,426.267px,1634202682.976
10442,mouseout,img_5F,198px,426.267px,1634202683.009
10443,mouseover,img_5F,198px,426.267px,1634202683.01
